source,row_index,log_prob,continuous_log_prob,event_structure_log_prob,nll,mask_pattern,primary_slot,event_risk
tail_all,101,159.33812,163.18826,-3.8501477,-159.33812,5,same_front,0.8111691
tail_all,102,239.57796,240.48703,-0.90907377,-239.57796,17,same_front,0.79137385
tail_all,103,86.96663,91.140564,-4.1739345,-86.96663,17,right_front,0.76877874
tail_all,104,143.95895,146.52936,-2.5703964,-143.95895,21,same_front,0.75061846
tail_all,105,167.115,170.9441,-3.8290942,-167.115,1,same_front,0.7389282
tail_all,106,196.27686,197.18593,-0.90907377,-196.27686,17,same_front,0.7204066
tail_all,107,231.44493,232.354,-0.90907377,-231.44493,17,same_front,1.1777904
tail_all,108,236.88503,240.71413,-3.8290942,-236.88503,1,same_front,1.1568401
tail_all,109,187.94339,191.77249,-3.8290942,-187.94339,1,same_front,1.0901189
tail_all,110,124.09666,126.66705,-2.5703964,-124.09666,21,same_front,1.0817163
tail_all,111,237.8158,238.72487,-0.90907377,-237.8158,17,same_front,0.9994614
tail_all,112,170.71138,171.62045,-0.90907377,-170.71138,17,same_front,0.98481095
tail_all,113,140.2123,141.12137,-0.90907377,-140.2123,17,same_front,0.9774459
tail_all,114,222.59583,223.5049,-0.90907377,-222.59583,17,same_front,0.9413151
tail_all,115,115.04212,117.61252,-2.5703964,-115.04212,21,same_front,0.9344277
tail_all,116,72.106834,74.194,-2.087167,-72.106834,51,same_rear,0.90430456
tail_all,117,229.64218,233.47128,-3.8290942,-229.64218,1,same_front,0.8847274
tail_all,118,211.30653,212.2156,-0.90907377,-211.30653,17,same_front,0.8691757
tail_all,119,112.737206,115.3076,-2.5703964,-112.737206,21,same_front,0.86303455
tail_all,120,85.45524,88.025635,-2.5703964,-85.45524,21,same_front,0.8550057
tail_all,121,-63.6606,-62.751526,-0.90907377,63.6606,17,same_front,0.82530206
tail_all,122,204.36,205.26907,-0.90907377,-204.36,17,same_front,0.8142513
tail_all,123,59.84719,66.448875,-6.6016827,-59.84719,43,same_front,0.80680263
tail_all,124,109.4939,113.728455,-4.2345595,-109.4939,5,left_front,0.7664037
tail_all,125,65.80869,69.63779,-3.8290942,-65.80869,1,same_front,0.7560723
tail_all,126,141.08444,143.65483,-2.5703964,-141.08444,21,same_front,0.75431496
tail_all,127,137.9727,138.88177,-0.90907377,-137.9727,17,same_front,0.7509155
tail_all,128,195.1878,196.09688,-0.90907377,-195.1878,17,same_front,0.7472648
tail_all,129,45.725136,51.815994,-6.090857,-45.725136,59,same_rear,0.73633873
tail_all,130,220.57635,221.48543,-0.90907377,-220.57635,17,same_front,0.7348005
tail_all,131,222.91962,223.82869,-0.90907377,-222.91962,17,same_front,0.72345984
tail_all,132,209.51068,210.41975,-0.90907377,-209.51068,17,same_front,0.9880048
tail_all,133,206.95929,210.78839,-3.8290942,-206.95929,1,same_front,0.8715633
tail_all,134,118.354126,122.52806,-4.1739345,-118.354126,17,right_front,0.8361874
tail_all,135,107.69422,110.26462,-2.5703964,-107.69422,21,same_front,0.81713164
tail_all,136,219.32228,220.23135,-0.90907377,-219.32228,17,same_front,0.8019675
tail_all,137,-33.596123,-31.025726,-2.5703964,33.596123,21,same_front,0.78564113
tail_all,138,221.74873,225.57784,-3.8290942,-221.74873,1,same_front,0.7629302
tail_all,139,187.86717,188.77625,-0.90907377,-187.86717,17,same_front,0.735346
tail_all,140,117.435234,122.00004,-4.564801,-117.435234,19,same_rear,0.7223099
tail_all,141,234.03651,234.94559,-0.90907377,-234.03651,17,same_front,1.0510836
tail_all,142,94.85164,99.02557,-4.1739345,-94.85164,17,right_front,1.0413871
tail_all,143,242.0143,242.92337,-0.90907377,-242.0143,17,same_front,1.0403227
tail_all,144,222.53212,223.4412,-0.90907377,-222.53212,17,same_front,1.0098433
tail_all,145,247.03831,247.94739,-0.90907377,-247.03831,17,same_front,1.0061177
tail_all,146,229.61478,230.52385,-0.90907377,-229.61478,17,same_front,0.9942549
tail_all,147,215.50114,216.41022,-0.90907377,-215.50114,17,same_front,0.97619104
tail_all,148,-48.23453,-43.86644,-4.3680906,48.23453,21,left_front,0.9327792
tail_all,149,147.26407,149.83447,-2.5703964,-147.26407,21,same_front,0.9320395
tail_all,150,3.4109182,8.278,-4.8670816,-3.4109182,51,right_rear,0.9266884
tail_all,151,98.00465,100.09181,-2.087167,-98.00465,51,same_rear,0.9246608
tail_all,152,235.07568,235.98476,-0.90907377,-235.07568,17,same_front,0.91911185
tail_all,153,77.020485,79.10765,-2.087167,-77.020485,51,same_rear,0.915009
tail_all,154,34.447098,36.646133,-2.199037,-34.447098,51,same_front,0.9096843
tail_all,155,49.207077,54.074158,-4.8670816,-49.207077,51,right_rear,0.9090015
tail_all,156,71.90282,74.10185,-2.199037,-71.90282,51,same_front,0.9085459
tail_all,157,38.544884,46.24518,-7.700294,-38.544884,31,left_rear,0.90183944
tail_all,158,137.39331,141.56725,-4.1739345,-137.39331,17,right_front,0.8968594
tail_all,159,34.94086,40.44393,-5.5030704,-34.94086,31,same_front,0.89075357
tail_all,160,256.09995,257.00903,-0.90907377,-256.09995,17,same_front,0.8621855
tail_all,161,85.98061,88.17965,-2.199037,-85.98061,51,same_front,0.85855186
tail_all,162,23.023678,26.873825,-3.8501477,-23.023678,63,same_rear,0.85182476
tail_all,163,76.41715,78.61619,-2.199037,-76.41715,51,same_front,0.8478292
tail_all,164,-21.545452,-15.636917,-5.9085355,21.545452,51,right_front,0.8427314
tail_all,165,53.42449,55.511658,-2.087167,-53.42449,51,same_rear,0.84155506
tail_all,166,85.024574,87.11174,-2.087167,-85.024574,51,same_rear,0.8412621
tail_all,167,136.65619,139.2266,-2.5703964,-136.65619,21,same_front,0.8353436
tail_all,168,217.57918,218.48825,-0.90907377,-217.57918,17,same_front,0.8344523
tail_all,169,90.81263,92.899796,-2.087167,-90.81263,51,same_rear,0.82883006
tail_all,170,-170.85503,-165.10065,-5.754385,170.85503,63,left_front,0.8199372
tail_all,171,212.64684,213.55591,-0.90907377,-212.64684,17,same_front,0.8178769
tail_all,172,28.905178,32.713654,-3.808475,-28.905178,63,same_front,0.81071943
tail_all,173,230.90143,231.8105,-0.90907377,-230.90143,17,same_front,0.8065341
tail_all,174,97.18311,99.27028,-2.087167,-97.18311,51,same_rear,0.79653305
tail_all,175,198.43169,199.34076,-0.90907377,-198.43169,17,same_front,0.796154
tail_all,176,103.11902,105.318054,-2.199037,-103.11902,51,same_front,0.78627896
tail_all,177,243.82002,244.7291,-0.90907377,-243.82002,17,same_front,0.78389925
tail_all,178,91.46551,93.55267,-2.087167,-91.46551,51,same_rear,0.770741
tail_all,179,35.23669,40.73976,-5.5030704,-35.23669,31,same_front,0.76867616
tail_all,180,84.01326,86.212296,-2.199037,-84.01326,51,same_front,0.7644351
tail_all,181,10.746494,14.596642,-3.8501477,-10.746494,63,same_rear,0.74998695
tail_all,182,231.12645,232.03552,-0.90907377,-231.12645,17,same_front,0.7393271
tail_all,183,141.90921,144.4796,-2.5703964,-141.90921,21,same_front,0.738988
tail_all,184,161.1885,165.03865,-3.8501477,-161.1885,5,same_front,0.7317956
tail_all,185,71.46395,74.03435,-2.5703964,-71.46395,21,same_front,0.72968996
tail_all,186,33.736164,39.357018,-5.6208534,-33.736164,47,same_front,0.7256807
tail_all,187,198.43678,199.34586,-0.90907377,-198.43678,17,same_front,1.2241961
tail_all,188,-34.593437,-26.893143,-7.700294,34.593437,19,right_front,1.1985329
tail_all,189,214.91753,215.8266,-0.90907377,-214.91753,17,same_front,1.182679
tail_all,190,242.2163,243.12537,-0.90907377,-242.2163,17,same_front,1.078363
tail_all,191,245.59117,246.50024,-0.90907377,-245.59117,17,same_front,1.0731729
tail_all,192,241.8996,242.80867,-0.90907377,-241.8996,17,same_front,1.0599813
tail_all,193,130.01134,133.86148,-3.8501477,-130.01134,5,same_front,1.0262696
